"Age" "Resident" "Attitude.Reduce.Bill" "Attitude.Environment" "Bedroom" "Education" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121"
"802" 3 2 1 2 3 4 18.633 27.991 27.712 22.839 26.034 22.795 33.802 13.667 19.302 15.769 27.109 18.802 24.005 29.985 26.667 24.499 30.107 26.502 30.716 24.006 32.612 24.044 27.696 25.784 22.301 23.946 19.638 34.937 27.167 24.962 26.388 25.385 28.027 39.327 32.8 38.502 37.771 37.561 36.586 53.241 41.516 21.955 34.112 32.067 34.881 25.372 29.634 22.991 24.556 20.535 23.332 24.144 20.707 22.261 21.718 20.167 18.215 22.631 21.592 25.412 20.908 18.585 22.446 19.349 22.209 24.058 25.663 25.689 23.184 21.921 20.354 21.429 23.863 22.139 20.555 18.433 20.071 19.28 25.093 24.292 25.745 23.737 19.549 21.571 21.053 20.417 23.834 23.535 19.879 19.664 19.499 19.438 18.277 21.715 22.381 22.802 20.722 21.631 18.858 19.629 20.589 20.639 23.036 19.07 19.561 19.093 21.872 24.363 23.954 19.663 19.231 17.093 21.394 20.693 20.922 18.972 19.597 18.152 22.015 17.897 19.583
"803" 2 1 1 1 3 3 29.706 37.788 19.034 29.956 25.953 27.773 42.406 27.074 35.888 22.925 30.124 28.535 29.323 36.626 33.571 26.33 32.418 28.099 23.994 31.891 34.427 30.212 27.042 30.945 28.168 30.274 33.066 32.097 31.112 43.257 21.569 26.44 41.04 35.737 24.542 43.503 21.324 23.601 31.478 36.898 35.646 40.919 19.031 28.608 28.32 33.189 26.859 17.549 21.311 18.739 17.93 19.236 19.375 20.069 21.119 23.25 21.452 26.061 19.182 19.76 18.201 23.875 19.542 20.357 19.216 20.622 18.513 18.551 19.711 24.755 17.443 18.851 18.248 19.519 19.814 21.182 21.798 19.019 19.056 20.821 18.421 22.613 18.491 19.549 20.532 17.894 17.793 21.217 20.608 23.397 18.083 18.702 17.374 18.657 18.813 18.952 20.318 22.227 17.768 18.518 20.893 17.772 20.585 20.19 19.247 17.521 21.017 18.866 26.419 18.02 19.214 17.434 17.542 17.451 18.442 17.866 18.843 18.181 19.246 19.174 19.865
"815" 4 4 1 1 5 5 54.905 55.105 63.84 52.639 55.663 71.832 73.699 49.209 51.656 53.152 46.778 38.504 80.085 79.58 50.666 52.656 51.428 54.566 39.485 59.397 82.803 56.283 50.526 63.645 56.415 49.899 59.352 73.015 42.692 65.713 44.529 67.776 58.226 68.608 84.385 79.241 98.816 74.324 38.877 74.703 110.97 63.473 63.867 61.553 81.341 46.434 70.18 47.937 49.408 61.334 57.646 51.579 47.815 51.441 63.424 59.23 61.756 46.054 45.398 57.029 60.438 42.594 52.747 46.426 54.697 52.723 61.103 50.261 50.328 50.77 44.82 51.134 56.094 50.164 46.384 47.763 47.659 42.553 66.887 47.727 47.407 53.327 44.235 49.984 48.02 59.384 42.306 47.67 42.682 52.253 53.106 45.208 51.589 52.949 46.692 50.696 47.879 45.88 52.633 66.48 47.28 49.632 58.278 65.32 57.239 56.101 59.772 55.141 54.752 61.413 58.439 50.407 60.099 55.532 56.376 48.422 42.349 48.625 47.584 50.542 48.772
"818" 5 4 1 1 4 5 24.699 18.793 16.533 18.946 18.584 14.595 20.301 36.255 27.017 24.863 20.176 29.252 16.562 25.046 29.491 23.306 22.761 27.263 26.526 30.568 28.658 22.877 21.586 17.75 25.325 17.648 15.007 17.47 33.593 28.771 18.445 18.979 26.487 31.815 22.398 21.682 18.933 31.8 26.344 34.244 39.507 36.884 33.205 33.822 22.881 19.746 17.247 26.237 26.349 29.123 23.77 22.137 26.23 23.232 23.103 23.502 24.662 21.658 22.068 23.582 20.575 22.667 27.985 22.78 24.604 20.695 22.21 21.011 22.431 22.807 23.006 22.132 21.914 22.179 21.444 26.362 21.753 23.31 22.072 23.695 24.373 26.881 22.167 22.546 20.318 23.347 20.28 20.752 22.428 20.613 21.885 24.334 20.421 21.6 22.432 21.109 20.815 21.598 21.629 22.324 20.199 22.787 21.494 23.163 21.578 21.079 19.454 19.935 22.217 21.04 22.816 26.402 20.049 23.852 22.922 20.469 21.042 20.771 21.31 20.482 21.672
"835" 6 2 1 1 3 4 39.12 36.957 34.196 31.994 32.792 36.203 26.858 48.133 39.526 38.29 40.482 30.982 56.597 51.346 61.52 58.2 43.257 43.312 46.402 51.14 31.908 55.758 35.482 48.143 41.196 43.921 45.42 50.843 52.735 38.884 33.45 52.992 62.486 56.716 58.262 47.015 44.108 49.261 50.918 49.076 29.393 60.928 50.641 31.837 37.776 46.232 48.653 33.202 24.879 25.999 23.936 22.979 22.832 21.607 28.013 26.443 30.638 26.928 21.226 22.012 19.644 20.521 17.673 19.776 24.542 22.808 20.264 24.41 23.562 21.068 22.477 16.525 21.272 31.486 23.849 21.041 20.814 22.902 22.926 25.356 17.805 24.829 23.316 18.635 18.103 21.589 21.644 20.475 21.773 19.7 18.634 26.958 22.167 23.802 19.154 20.077 21.436 18.578 25.777 17.294 22.134 16.605 22.788 16.611 16.786 24.292 18.485 16.934 16.313 16.844 17.691 17.92 17.259 15.462 16.798 16.681 22.42 16.867 22.792 15.868 15.71
"845" 6 2 1 1 4 5 22.218 30.48 26.942 24.313 31.708 24.632 27.797 29.545 41.723 27.304 27.349 29.66 29.905 30.213 30.961 23.678 29.171 30.132 23.773 24.985 28.357 25.233 24.354 34.252 27.045 36.285 27.683 24.28 29.343 38.277 35.237 35.692 28.479 30.381 37.097 35.661 48.419 35.658 36.095 40.399 32.621 35.332 36.464 36.553 49.236 29.787 48.538 25.622 27.376 25.831 26.399 29.599 27.997 26.483 23.33 26.627 23.547 24.381 26.222 25.793 25.709 30.548 29.672 27.231 24.73 29.957 28.158 26.544 25.648 26.386 30.212 33.032 30.81 28.53 29.224 26.484 24.224 25.756 24.817 25.48 27.642 24.148 26.752 27.318 26.1 24.364 25.315 24.364 26.694 23.844 25.6 25.099 26.013 24.053 28.413 28.674 22.738 28.302 21.638 21.76 26.346 25.275 29.993 22.848 31.987 22.161 23.266 24.113 26.146 25.1 24.441 26.457 23.068 26.909 23.551 23.123 23.366 25.739 24.066 23.702 27.077
"850" 6 2 1 1 4 3 34.292 37.676 29.78 43.702 36.417 42.217 30.903 29.315 35.463 31.949 38.116 34 39.354 31.541 19.467 24.712 27.738 27.798 24.283 27.952 29.017 26.767 26.418 29.913 39.081 27.848 36.467 38.429 39.044 40.803 32.064 33.368 32.747 26.001 37.735 39.113 46.326 34.449 60.904 51.834 36.48 48.004 38.225 48.342 34.215 36.476 37.767 46.691 50.194 58.138 50.672 44.186 46.239 46.245 48.826 48.028 46.127 44.729 41.65 38.581 40.139 42.224 48.217 41.97 42.057 39.917 40.136 40.36 39.741 44.074 40.179 41.226 41.032 41.946 42.064 41.959 47.32 44.885 43.057 42.645 39.919 39.953 44.301 46.504 38.935 41.437 44.01 39.813 40.884 44.763 50.214 45.185 43.7 42.313 43.137 43.774 45.788 45.542 44.284 43.859 40.079 39.587 39.57 42.957 49.151 42.551 38.921 39.246 41.454 39.646 40.797 46.551 39.382 43.046 41.752 40.711 42.218 40.613 48.322 38.402 39.898
"861" 4 2 1 1 4 3 10.115 12.004 10.521 13.425 11.496 10.879 6.215 10.698 9.285 11.541 18.328 10.786 12.372 14.769 11.161 10.826 14.34 10.487 8.443 6.606 8.39 20.848 9.659 13.429 14.047 14.11 10.875 19.858 19.377 15.774 11.461 14.423 9.603 6.306 5.594 9.053 9.848 21.385 16.966 32.18 35.247 45.165 40.09 33.037 12.94 29.724 38.024 19.027 17.917 11.823 13.161 13.386 10.388 14.955 10.473 20.406 24.209 13.989 17.043 8.724 10.059 11.687 11.282 7.87 7.52 12.759 11.03 7.404 7.235 7.827 12.06 8.458 7.463 12.649 8.481 9.179 11.126 13.023 9.383 7.826 9.655 7.486 7.881 10.327 11.146 8.12 10.507 11.374 7.474 10.232 10.208 8.52 11.394 8.354 11.819 13.21 15.77 12.833 10.677 7.952 8.27 10.963 9.442 6.95 6.74 7.896 7.243 10.299 8.915 7.655 8.413 15.328 13.439 11.672 11.027 8.968 7.17 10.089 8.159 9.61 9.527
"875" 3 2 1 1 5 4 35.416 39.705 43.429 51.036 33.011 61.604 44.864 47.639 51.235 39.216 66.055 27.963 19.829 53.443 42.618 62.27 46.061 56.118 58.002 50.475 58.022 41.288 54.384 51.89 44.542 31.419 81.723 31.372 30.999 49.494 47.951 38.59 43.815 60.662 42.983 46.138 59.7 80.585 50.96 57.742 56.699 38.765 50.304 48.092 67.612 56.145 41.318 40.515 37.692 43.593 40.444 35.166 39.842 41.831 38.055 35.615 30.628 36.562 32.316 35.348 36.139 41.535 30.625 42.325 38.702 39.146 36.516 35.056 34.306 32.68 33.153 39.611 37.103 39.333 40.481 32.583 36.816 32.96 38.323 37.611 37.763 43.436 41.345 34.995 33.905 35.845 38.747 33.01 32.209 30.843 32.101 30.751 35.604 34.503 34.309 38.764 40.777 38.528 32.172 33.378 40.886 36.937 35.142 33.267 36.178 41.512 37.471 33.03 35.689 33.287 31.509 33.078 38.197 38.743 39.171 36.018 43.432 36.206 34.787 37.177 33.942
"881" 3 2 1 1 3 1 53.872 37.428 72.881 72.262 75.229 43.725 36.869 45.734 52.812 57.566 59.293 68.279 40.217 28.555 49.084 37.718 45.685 46.419 36.574 45.602 24.847 46.717 53.915 60.459 46.795 53.188 53.505 34.9 55.995 55.6 58.417 31.537 43.472 43.676 23.733 34.496 53.941 43.06 38.799 59.914 47.269 47.676 60.659 38.721 71.133 54.325 40.65 40.302 38.618 31.598 38.668 37.225 34.483 34.944 31.363 33.453 33.763 35.796 39.777 39.38 38.326 34.272 39.951 36.031 37.978 35.033 42.613 33.741 34.613 34.727 28.51 35.186 32.769 46.614 29.593 36.006 30.473 32.538 31.321 32.741 30.84 30.361 28.721 35.227 33.428 48.939 33.367 35.582 35.41 32.257 29.973 33.007 33.336 36.13 33.638 31.455 33.724 30.493 33.486 35.374 35.664 29.474 27.92 38.079 31.649 40.122 32.511 31.396 36.558 31.739 37.037 32.501 29.739 32.078 37.017 32.485 34.641 35.761 31.971 33.044 31.536
"897" 3 2 1 1 4 5 28.611 28.878 33.001 31.696 40.522 35.07 35.627 29.747 25.698 38.021 28.661 33.118 45.077 33.023 37.23 31.97 28.67 30.814 29.388 43.956 42.359 29.029 22.252 24.065 26.928 28.273 40.694 53.16 33.915 28.146 36.77 33.03 34.465 41.962 47.12 29.869 32.976 37.88 33.112 67.378 61.582 48.614 44.777 48.269 51.661 29.639 43.244 20.474 22.356 24.178 21.679 26.686 25.249 22.417 24.327 26.966 26.806 24.431 21.918 22.159 26.098 24.857 26.044 28.421 17.814 20.282 21.857 19.887 25.445 25.382 25.007 21.864 24.447 27.267 20.771 22.09 20.451 23.082 19.542 21.373 23.632 19.38 26.027 24.227 21.565 19.315 27.974 23.435 18.26 22.219 25.989 21.185 18.982 20.213 21.294 19.55 23.758 21.54 19.959 23.042 24.278 27.756 20.816 21.534 20.566 20.218 23.932 24.421 21.75 18.681 24.086 19.906 21.644 24.606 21.068 22.49 21.311 20.514 21.774 20.076 21.156
"898" 5 2 2 1 3 4 13.554 16.863 12.436 12.937 21.53 14.193 27.805 19.531 19.62 13.846 8.698 7.983 8.203 8.148 8.629 7.495 7.702 11.876 11.978 11.641 12.386 19.306 11.993 15.741 12.899 12.65 13.476 14.798 12.057 14.963 12.241 13.293 17.167 12.803 12.833 20.554 12.565 11.613 10.739 15.515 13.548 14.301 13.077 20.29 13.038 12.659 16.25 11.717 11.844 12.177 11.536 11.058 11.191 11.303 15.98 10.9 11.475 11.047 12.4 11.922 11.411 16.254 13.406 15.031 13.66 13.21 11.594 12.161 11.888 12.456 14.421 12.087 11.516 11.978 12.904 14.651 13.371 11.261 12.686 14.52 12.546 12.065 12.137 11.964 11.739 13.989 14.004 13.254 11.806 11.565 11.911 13.406 13.78 12.275 12.347 11.798 16.421 10.671 10.487 11.713 11.436 11.684 14.182 13.54 11.842 11.78 11.251 13.029 12.859 11.879 11.196 11.741 13.569 12.053 11.776 11.717 13.344 12.559 11.886 12 11.696
"904" 4 4 1 1 4 4 25.882 31.015 26.466 26.087 36.173 36.607 28.145 29.965 26.796 31.709 31.86 30.822 26.598 24.904 27.024 28.461 27.945 32.639 34.658 26.994 30.327 34.863 35.31 39.369 32.738 45.485 30.137 34.858 47.662 31.669 30.733 36.134 35.596 40.796 30.194 27.801 31.958 35.933 44.73 45.422 41.111 38.492 47.332 47.193 45.495 35.455 33.75 35.459 33.525 32.491 30.502 30.575 34.67 29.721 34.856 31.16 30.646 31.105 34.39 31.638 32.372 29.762 38.104 30.041 32.551 29.674 29.582 33.31 30.798 32.445 28.111 29.232 29.549 32.723 32.596 34.146 29.744 30.271 31.389 29.106 32.445 30.912 32.758 30.639 29.786 31.427 27.752 30.921 30.2 32.446 31.88 31.126 31.398 31.855 29.257 29.884 28.851 30.687 30.212 29.65 32.067 34.744 28.891 31.305 29.507 32.754 31.789 31.447 34.864 28.002 27.42 37.537 32.195 27.91 27.301 30.463 28.168 33.108 31.304 37.544 32.62
"920" 3 2 1 1 5 5 56.116 38.56 38.336 27.394 41.833 28.558 34.532 37.788 40.366 41.475 28.08 36.406 48.267 37.45 45.146 40.399 32.075 39.949 44.154 42.796 19.003 38.74 35.153 31.561 26.774 27.486 43.382 52.888 50.149 51.757 44.693 45.308 54.439 44.198 49.25 45.616 47.458 41.81 60.66 39.629 32.75 26.219 43.911 76.03 49.542 47.929 52.421 29.999 27.328 23.106 20.28 14.313 17.914 18.341 16.811 19.718 26.814 18.682 18.143 20.007 24.237 18.148 14.475 13.79 23.457 20.5 21.42 28.775 19.703 20.69 21.986 22.992 16.972 19.679 20.226 21.068 19.579 22.742 22.333 19.507 22.709 21.306 18.731 20.144 24.891 20.965 21.138 23.35 21.155 24.205 26.994 20.55 21.769 22.038 17.276 18.912 15.827 16.055 22.323 21.691 19.677 17.305 22.414 17.388 17.815 24.305 20.885 22.607 18.392 21.151 20.78 27.156 22.077 22.609 18.394 22.131 18.402 14.548 21.874 20.586 21.634
"955" 4 2 1 1 4 5 30.824 28.68 46.25 38.107 32.801 38.942 34.447 31.689 31.454 39.547 31.145 29.796 37.141 28.954 37.373 33.287 62.526 43.945 37.843 36.309 41.486 33.488 39.877 42.965 34.191 40.46 38.803 43.524 40.001 27.662 41.777 41.267 30.086 37.381 56.072 31.578 25.913 36.745 53.803 48.521 52.142 39.576 33.372 43.707 41.473 38.546 41.065 39.431 38.003 32.775 45.142 32.563 40.231 41.855 34.474 37.908 42.299 33.429 41.626 36.379 36.32 38.594 35.915 32.335 34.305 34.787 38.582 37.446 34.579 40.341 32.445 36.829 33.863 33.449 32.054 37.966 38.74 40.66 33.567 34.378 35.944 39.942 37.276 37.441 32.938 37.047 33.428 39.506 35.807 39.268 37.057 34.869 34.712 32.932 32.755 32.903 33.174 38.799 39.129 31.859 34.19 35.019 37.096 37.648 38.338 33.458 35.303 32.143 35.262 36.598 40.648 42.033 37.482 33.999 33.454 36.418 39.639 36.754 37.739 34.591 34.014
"958" 5 4 1 2 4 4 21.371 18.6 16.958 23.641 22.294 23.477 18.484 19.329 19.776 16.854 16.632 21.77 18.023 19.242 20.621 20.419 17.791 18.799 18.396 18.103 19.675 19.936 25.042 23.713 19.557 21.847 19.438 21.656 22.617 19.558 19.364 17.296 23.098 30.641 25.885 13.774 21.311 28.367 19.577 29.338 25.776 22.567 21.868 28.478 19.629 21.13 24.463 20.144 21.761 21.465 24.417 19.834 19.625 19.979 20.824 22.435 23.033 19.97 18.846 19.478 19.921 23.012 19.794 20.651 18.992 24.335 19.853 18.762 19.352 20.423 20.921 19.445 20.543 20.148 20.485 20.323 19.522 19.747 19.391 18.954 19.668 19.651 18.956 20.695 19.436 20.822 19.318 19.175 22.506 23.211 19.841 19.838 20.192 18.919 19.196 20.72 19.657 19.392 21.983 19.617 19.801 20.089 20.459 21.06 18.959 18.766 18.253 19.539 22.868 20.263 24.283 21.673 20.705 20.309 24.193 20.49 23.011 19.252 19.977 21.358 23.543
"995" 6 1 1 1 3 4 23.947 27.299 33.954 24.066 22.46 20.256 28.265 27.458 26.952 28.73 25.718 29.78 25.319 24.501 30.104 36.102 27.772 33.572 31.173 35.798 25.96 28.09 30.9 21.506 31.555 29.386 35.283 27.691 21.993 32.742 26.696 29.753 30.697 33.045 25.617 25.539 26.652 29.916 30.213 37.77 38.105 29.251 30.191 34.309 36.362 23.127 34.711 24.502 24.9 23.44 23.708 21.813 22.231 21.175 21.35 20.739 22.602 21.847 21.27 21.357 21.203 23.504 22.219 24.895 23.488 24.235 21.338 22.078 22.951 22.032 24.376 20.76 21.111 20.019 21.966 21.151 21.904 23.154 21.942 21.234 21.148 21.43 20.464 21.449 25.936 24.685 20.771 23.665 22.972 21.513 20.684 23.182 20.713 20.885 21.504 20.258 21.402 22.369 20.922 21.787 20.809 22.724 21.649 19.172 24.974 26.676 21.709 20.678 19.841 21.536 20.177 25.127 20.248 21.508 21.117 21.82 18.845 22.385 18.861 21.495 21.337
"998" 5 3 1 1 3 4 20.2 17.816 26.954 21.036 15.413 17.901 13.197 15.131 18.118 33.262 17.544 16.924 17.772 13.293 15.892 11.925 16.088 12.837 11.777 23.185 16.503 28.018 25.333 13.258 16.443 23.263 12.721 18.432 15.947 21.517 14.617 19.077 21.288 13.575 14.803 16.87 34.66 22.627 34.023 17.774 10.653 31.654 18.807 10.838 17.774 15.694 35.227 13.915 11.919 12.1 15.634 12.643 12.404 10.869 9.889 13.133 13.608 15.95 12.818 13.835 13.288 15.304 9.421 11.231 13.679 11.456 9.442 9.939 14.675 11.502 10.624 11.041 10.687 10.353 10.735 13.051 9.748 11.829 10.113 12.782 10.067 11.897 12.098 12.508 11.124 10.987 11.799 10.378 8.921 10.16 13.788 9.164 12.621 13.929 12.204 10.303 9.515 10.479 10.398 9.918 12.021 12.223 11.476 14.029 12.474 9.134 11.363 10.37 10.206 10.888 12.883 9.305 10.942 13.354 10.533 10.01 9.208 13.111 9.596 11.171 9.936
"1010" 4 3 1 1 4 5 32.64 38.585 35.384 30.255 34.478 46.498 49.649 30.79 36.028 36.417 37.984 59.862 40.91 65.461 39.087 33.691 30.357 45.133 31.783 46.866 56.43 27.098 40.919 45.356 46.52 35.47 39.962 61.266 38.787 42.449 37.866 42.351 36.72 34.514 45.34 46.367 46.035 47.372 52.741 65.356 72.438 71.942 53.769 39.111 36.813 43.13 53.69 27.778 27.675 23.853 29.553 34.35 29.108 24.145 25.216 33.23 26.023 35.229 29.578 24.666 24.601 22.516 25.516 26.094 23.364 21.522 23.418 25.179 27.826 23.308 19.571 22.917 22.164 22.597 23.93 24.789 35.087 24.439 23.625 31.016 26.784 27.593 29.511 25.713 23.271 25.217 24.041 19.823 24.954 22.454 24.421 23.458 21.962 25.541 24.483 23.644 22.328 23.069 19.423 28.715 23.23 19.799 23.55 24.927 26.419 19.69 24.304 24.744 24.406 20.653 22.574 20.579 22.814 21.48 19.624 21.705 24.635 21.445 24.419 19.813 19.849
"1023" 6 3 3 2 3 3 16.518 22.696 28.362 24.198 19.341 25.762 23.899 25.469 20.045 20.933 22.906 22.903 19.603 28.977 17.296 16.961 22.019 21.776 23.173 26.032 23.484 20.491 26.561 19.686 19.664 17.205 23.731 24.099 24.541 26.584 30.294 26.989 17.819 14.928 24.449 22.032 21.368 21.023 16.759 21.759 30.371 20.011 19.28 23.731 28.601 24.806 23.163 18.67 17.034 16.525 21.927 17.506 18.624 20.506 21.19 18.287 16.023 19.999 17.774 18.214 19.414 17.63 20.126 18.084 16.214 18.922 18.309 18.749 20.649 18.976 16.419 17.856 21.425 17.657 19.542 17.498 22.447 16.195 18.92 19.37 19.446 20.479 20.37 20.813 19.424 19.742 15.996 16.287 16.774 18.609 21.538 17.726 18.035 19.434 18.674 19.76 18.656 23.04 17.922 19.855 19.31 17.499 20.838 18.016 19.57 19.567 22.496 23.018 18.482 22.138 23.074 22.783 19.725 22.427 20.132 22.748 18.568 19.318 21.475 18.754 19.076
"1096" 3 2 1 2 4 4 25.63 29.885 22.827 26.773 29.121 33.343 39.125 21.013 28.934 29.575 31.239 26.046 31.009 34.204 28.989 32.86 24.986 31.201 29.037 39.789 32.517 28.469 33.073 29.55 33.256 30.27 36.83 33.503 25.94 36.641 29.76 31.248 26.839 34.783 32.711 29.942 32.506 26.052 29.124 35.892 43.677 35.674 27.851 30.961 21.478 26.956 40.929 24.608 25.973 19.783 27.616 24.791 26.244 23.463 25.535 28.629 25.106 25.674 25.571 24.336 23.495 25.976 30.948 24.446 24.854 25.746 23.137 25.215 22.16 21.017 26.352 25.05 24.06 26.456 26.107 25.914 31.397 23.8 24.325 23.92 23.639 22.433 23.937 29.393 23.917 24.363 24.466 25.03 22.398 26.263 23.451 26.507 24.868 24.254 23.392 24.316 24.882 24.06 20.612 25.03 22.533 25.367 21.85 23.336 28.409 24.36 23.773 20.87 23.442 22.863 25.966 25.749 22.93 24.042 22.041 23.056 23.483 21.401 27.216 23.609 22.88
"1149" 2 2 1 1 4 5 18.709 20.602 14.3 15.696 17.679 16.202 18.91 10.822 22.334 18.556 17.624 11.195 19.209 23.013 22.899 18.392 23.706 18.95 19.943 15.585 21.831 23.218 20.866 15.432 16.223 15.97 27.69 30.025 16.457 15.982 19.583 15.554 26.065 26.776 17.134 15.141 25.426 18.6 16.858 34.06 25.93 17.719 22.581 25.274 22.011 12.914 20.324 18.587 19.927 19.467 25.46 22.496 20.569 19.847 21.376 17.711 18.313 23.861 19.662 20.679 19.22 19.452 18.368 23.403 21.956 19.946 20.047 18.22 20.697 19.931 18.009 19.725 20.668 21.007 22.778 21.91 20.297 20.225 20.477 21.568 21.468 17.745 22.437 19.854 18.647 19.669 21.23 19.331 23.662 20.63 19.628 19.175 19.104 20.141 20.092 20.055 20.451 24.872 20.803 19.851 20.711 21.203 20.155 21.555 18.354 19.013 21.84 19.573 18.381 20.687 20.68 19.399 17.181 19.793 18.461 19.905 23.084 19.901 17.765 21.125 19.928
"1174" 2 1 1 1 4 4 42.786 37.491 38.31 39.402 35.731 31.562 52.801 33.607 38.081 41.407 42.064 41.708 51.786 45.129 23.759 39.323 44.188 36.457 50.735 42.519 38.982 38.015 50.167 47.238 35.517 42.48 39.886 53.762 37.367 35.843 41.282 35.438 44.394 42.041 34.775 32.974 48.528 40.83 35.443 51.924 52.641 47.477 42.307 68.991 36.108 51.45 69.362 40.875 38.216 47.494 53.269 47.729 47.716 45.673 38.93 37.09 47.898 38.956 44.395 38.493 38.603 37.91 39.553 45.174 38.909 42.837 44.228 39.701 38.634 37.635 35.904 55.244 33.67 32.297 32.426 31.497 31.173 30.126 40.284 34.999 30.838 31.727 38.201 34.193 30.259 32.532 31.625 33.801 41.597 34.318 32.833 29.029 37.372 32.344 38.652 36.54 30.636 46.424 32.249 34.667 39.356 37.784 41.068 38.837 35.65 37.49 32.858 31.462 31.261 35.528 29.412 27.108 28.979 45.234 37.727 31.218 34.248 34.06 34.061 33.153 32.752
"1204" 3 2 1 1 3 3 44.916 44.782 56.42 43.917 60.174 62.279 57.184 41.638 40.799 44.98 51.181 59.666 57.058 71.454 54.392 57.802 56.963 51.934 64.81 44.21 66.174 54.686 47.989 66.625 45.125 66.068 53.836 61.011 42.288 51.973 63.052 55.767 42.961 58.098 57.967 50.907 58.127 62.613 73.356 61.082 49.908 57.107 55.895 63.809 34.718 50.908 59.514 43.938 35.251 39.356 43.11 36.645 46.665 40.471 44.209 46.076 39.096 48.04 47.143 40.505 38.127 42.717 43.296 41.21 41.749 34.906 41.648 40.094 36.032 40.801 38.502 39.604 40.458 36.452 39.055 40.997 41.433 32.915 34.477 42.337 44.156 38.486 47.662 40.058 40.641 36.568 47.26 42.707 40.905 41.472 42.245 37.213 39.028 34.212 39.637 36.115 37.298 43.202 38.615 38.557 36.419 37.844 38.128 37.312 32.549 32.245 36.78 45.854 42.748 40.008 36.648 40.557 45.42 40.976 35.127 42.421 42.73 40.668 42.863 39.621 38.479
"1223" 3 2 1 1 3 4 6.927 15.276 10.747 13.657 13.472 18.097 10.612 18.001 20.514 11.437 11.502 9.57 18.385 26.276 9.697 22.201 15.208 21.054 14.055 20.509 22.888 15.694 23.082 11.541 17.25 10.311 17.265 16.785 8.37 18.898 12.842 10.558 18.629 16.822 27.846 18.423 18.067 16.084 12.585 24.081 16.706 27.719 20.074 20.001 22.969 8.428 21.238 10.038 13.195 10.996 7.661 9.915 11.563 12.657 10.307 19.456 17.587 13.664 12.864 11.516 11.283 15.071 7.075 6.862 12.359 8.641 13.041 9.926 9.996 12.8 6.82 7.216 11.396 9.164 13.722 9.052 12.484 9.215 8.46 8.799 8.061 8.117 8.063 8.1 7.778 7.25 8.88 9.041 10.802 7.466 12.862 10.216 9.182 8.441 9.4 8.375 7.497 15.792 11.578 7.222 10.761 8.976 8.726 7.403 9.757 6.808 6.636 8.668 7.811 7.825 6.667 10.929 8.442 10.463 9.151 6.523 9.153 6.67 8.237 7.836 10.89
"1232" 5 4 1 1 4 3 23.444 29.004 26.786 25.173 27.883 24.268 26.807 25.466 27.622 29.976 26.021 17.707 29.423 25.108 24.555 22.56 26.942 28.139 25.525 31.947 26.014 21.731 37.124 23.704 22.327 21.088 29.897 23.813 26.598 25.319 34.662 28.406 28.646 30.789 38.248 26.213 36.167 33.646 35.962 38.819 40.36 38.894 31.154 27.864 25.464 25.422 26.036 21.606 20.47 21.25 22.005 18.267 22.142 19.619 20.674 22.006 21.573 20.697 22.172 21.824 22.29 21.171 22.537 20.874 22.019 20.493 21.854 21.225 21.873 21.285 20.516 20.473 20.206 20.25 21.133 22.92 21.17 19.472 20.735 19.789 20.164 20.443 23.052 20.884 20.77 21.256 21.037 21.237 20.927 21.009 21.2 20.004 20.631 23.457 23.082 21.141 21.539 21.137 21.367 21.193 21.723 22.226 21.193 22.167 21.199 20.115 19.682 21.654 21.777 21.899 22.699 21.782 21.048 21.329 20.947 22.335 24.729 23.385 21.795 20.3 21.568
